Date,NoDur,Manuf,BusEq,Shops,Hlth,Benchmark
1944-01-01,0.039700,0.025700,0.008400,0.007800,0.002900,0.016900
1944-02-01,-0.005300,0.000900,-0.026500,0.010600,-0.026500,-0.009360
1944-03-01,0.028300,0.022900,0.038700,0.022800,0.024600,0.027460
1944-04-01,-0.019500,-0.024000,-0.012900,-0.010000,-0.023700,-0.018020
1944-05-01,0.053400,0.062500,0.034900,0.050800,0.056800,0.051680
1944-06-01,0.056500,0.079300,0.080900,0.058400,0.038500,0.062720
1944-07-01,-0.003500,-0.018600,-0.017200,-0.000800,-0.012400,-0.010500
1944-08-01,0.025600,0.029000,0.021800,0.031300,0.007600,0.023060
1944-09-01,-0.002200,0.006500,-0.006500,0.018200,0.004300,0.004060
1944-10-01,-0.000300,-0.005700,0.005200,0.004400,0.010900,0.002900
1944-11-01,0.012600,0.017000,0.017300,0.027900,0.005200,0.016000
1944-12-01,0.020300,0.055200,0.044800,0.021500,0.017100,0.031780
1945-01-01,0.026300,0.027600,0.010400,0.000700,0.005600,0.014120
1945-02-01,0.039500,0.075500,0.072400,0.045300,0.042400,0.055020
1945-03-01,-0.030000,-0.052100,-0.041900,-0.013700,-0.018300,-0.031200
1945-04-01,0.070800,0.086300,0.086300,0.071600,0.063300,0.075660
1945-05-01,0.023400,0.008500,0.022700,0.062800,0.041200,0.031720
1945-06-01,0.008800,0.010000,-0.021100,-0.031400,-0.046600,-0.016060
1945-07-01,-0.014400,-0.033500,-0.013600,-0.001100,-0.016200,-0.015760
1945-08-01,0.077400,0.086000,0.101400,0.082500,0.092200,0.087900
1945-09-01,0.062900,0.063200,0.026100,0.056500,0.065100,0.054760
1945-10-01,0.067800,0.037100,-0.006900,0.059600,0.066000,0.044720
1945-11-01,0.036800,0.055100,0.030900,0.069100,0.085900,0.055560
1945-12-01,0.012900,0.012900,0.023300,0.034600,0.015300,0.019800
1946-01-01,0.048500,0.094400,0.058300,0.109800,0.077600,0.077720
1946-02-01,-0.048100,-0.069800,-0.068000,-0.042500,-0.043200,-0.054320
1946-03-01,0.063600,0.052000,0.008300,0.114200,0.145800,0.076780
1946-04-01,0.035400,0.036500,0.009900,0.072000,0.146700,0.060100
1946-05-01,0.033500,0.054100,0.061500,0.018900,0.056300,0.044860
1946-06-01,-0.036100,-0.041100,-0.047300,-0.077000,-0.055200,-0.051340
1946-07-01,-0.007500,-0.037500,-0.033500,-0.028300,-0.032300,-0.027820
1946-08-01,-0.052900,-0.067000,-0.079600,-0.049100,-0.032700,-0.056260
1946-09-01,-0.107500,-0.110300,-0.102300,-0.069000,-0.070300,-0.091880
1946-10-01,0.004700,-0.011000,-0.029800,-0.022300,-0.002400,-0.012160
1946-11-01,-0.013200,0.012300,-0.036700,-0.049900,0.016600,-0.014180
1946-12-01,0.037500,0.061700,0.050400,0.040400,0.072400,0.052480
1947-01-01,0.002400,0.016900,0.063700,0.006900,-0.053200,0.007340
1947-02-01,-0.002700,-0.006900,-0.032300,-0.004100,-0.042000,-0.017600
1947-03-01,-0.022300,-0.019100,-0.032100,-0.022000,-0.012600,-0.021620
1947-04-01,-0.066500,-0.066100,-0.057500,-0.079800,-0.086100,-0.071200
1947-05-01,-0.005500,-0.029800,0.002700,-0.003600,-0.026500,-0.012540
1947-06-01,0.065400,0.045800,0.047000,0.099000,0.042000,0.059840
1947-07-01,0.046500,0.048900,0.064000,0.046100,0.026100,0.046320
1947-08-01,-0.013800,-0.016400,-0.035800,-0.035500,-0.038300,-0.027960
1947-09-01,0.003900,0.014900,0.008700,-0.028100,-0.026300,-0.005380
1947-10-01,0.013600,0.038600,0.023300,0.030300,0.012100,0.023580
1947-11-01,-0.017000,-0.011300,-0.012400,-0.024300,-0.030600,-0.019120
1947-12-01,0.007000,0.028900,0.030500,0.003700,0.031200,0.020260
1948-01-01,-0.026900,-0.042400,-0.047800,-0.032900,-0.082500,-0.046500
1948-02-01,-0.061300,-0.052000,-0.039700,-0.037900,-0.035400,-0.045260
1948-03-01,0.054900,0.109100,0.108500,0.067000,0.063500,0.080600
1948-04-01,0.013400,0.021900,-0.005000,0.050800,0.021400,0.020500
1948-05-01,0.051000,0.079300,0.145400,0.085900,0.068000,0.085920
1948-06-01,-0.019800,-0.017200,-0.011100,-0.013100,-0.021900,-0.016620
1948-07-01,-0.016800,-0.048300,-0.069900,-0.077200,-0.042600,-0.050960
1948-08-01,0.000200,0.010700,0.025800,0.025000,-0.019000,0.008540
1948-09-01,-0.039800,-0.030100,-0.032100,-0.009400,-0.031000,-0.028480
1948-10-01,0.036300,0.065700,0.073300,0.041400,0.052000,0.053740
1948-11-01,-0.061800,-0.108000,-0.108000,-0.057700,-0.057500,-0.078600
1948-12-01,0.006700,0.027000,0.061800,0.015200,0.045400,0.031220
1949-01-01,0.036700,0.005500,-0.015100,0.011700,0.045800,0.016920
1949-02-01,-0.019300,-0.035400,-0.052100,-0.022700,-0.009300,-0.027760
1949-03-01,0.032100,0.038200,0.054900,0.044000,0.055000,0.044840
1949-04-01,-0.016500,-0.044600,-0.032000,-0.016400,0.002400,-0.021420
1949-05-01,-0.004300,-0.051000,-0.044000,0.001700,-0.019000,-0.023320
1949-06-01,0.010400,0.001800,-0.004800,0.028700,0.021700,0.011560
1949-07-01,0.049500,0.063500,0.076400,0.051600,0.060100,0.060220
1949-08-01,0.039700,0.014900,0.005500,0.015000,0.001800,0.015380
1949-09-01,0.028400,0.034800,0.037800,0.023000,0.018600,0.028520
1949-10-01,0.015200,0.039600,0.041400,0.006600,0.033800,0.027320
1949-11-01,0.018400,0.025100,0.031200,0.021100,0.048000,0.028760
1949-12-01,0.051500,0.067300,0.102700,0.047800,0.087200,0.071300
1950-01-01,0.013700,0.026100,0.053200,0.004300,0.010600,0.021580
1950-02-01,0.005300,0.024200,0.035100,0.023300,0.019200,0.021420
1950-03-01,-0.005700,-0.008100,0.035500,-0.001800,-0.029200,-0.001860
1950-04-01,0.001400,0.060200,0.049500,-0.003600,0.055200,0.032540
1950-05-01,0.020700,0.046700,0.005900,0.031700,0.039700,0.028940
1950-06-01,-0.057200,-0.064500,-0.081700,-0.044500,-0.042000,-0.057980
1950-07-01,0.004500,0.057600,-0.029500,-0.009600,-0.069600,-0.009320
1950-08-01,0.039300,0.052600,0.049900,0.043800,0.036800,0.044480
1950-09-01,0.048900,0.050100,0.047800,0.084900,0.061600,0.058660
1950-10-01,-0.003800,0.010200,-0.011900,0.008400,-0.017700,-0.002960
1950-11-01,0.000000,0.055100,0.010700,0.011000,0.046700,0.024700
1950-12-01,0.028400,0.069700,0.044900,0.027900,0.061000,0.046380
1951-01-01,0.046200,0.067500,0.094400,0.036300,0.031000,0.055080
1951-02-01,0.009500,0.003900,0.010300,0.031200,0.014500,0.013880
1951-03-01,-0.027900,-0.037400,-0.006500,-0.021100,0.017000,-0.015180
1951-04-01,0.009500,0.061700,0.031200,0.003900,0.104100,0.042080
1951-05-01,-0.012900,-0.032600,-0.026400,-0.013300,0.015700,-0.013900
1951-06-01,-0.036000,-0.053600,-0.015300,-0.027200,0.008300,-0.024760
1951-07-01,0.031300,0.085500,0.055400,0.028400,0.144800,0.069080
1951-08-01,0.035000,0.066300,0.062900,0.026400,-0.014300,0.035260
1951-09-01,-0.004300,0.015600,0.023800,0.034000,-0.018300,0.010160
1951-10-01,-0.031200,-0.023900,-0.058900,-0.031300,-0.059800,-0.041020
1951-11-01,-0.000600,0.011000,0.015500,0.015300,-0.004800,0.007280
1951-12-01,0.019200,0.024100,0.052700,-0.002700,0.051500,0.028960
1952-01-01,0.005200,0.014600,-0.017100,-0.004600,0.006500,0.000920
1952-02-01,-0.020300,-0.041400,-0.037300,-0.037700,-0.042500,-0.035840
1952-03-01,0.017200,0.026300,0.062200,0.025400,0.004400,0.027100
1952-04-01,-0.033300,-0.061300,-0.034400,-0.018500,-0.055000,-0.040500
1952-05-01,0.021400,0.029400,0.032600,0.025900,0.025200,0.026900
1952-06-01,0.028700,0.045400,0.066400,0.030100,-0.009600,0.032200
1952-07-01,0.005800,0.028000,0.010600,0.019400,-0.044000,0.003960
1952-08-01,0.009600,-0.017000,-0.001400,-0.003100,-0.005700,-0.003520
1952-09-01,-0.028500,-0.022900,0.012500,-0.007700,-0.041200,-0.017560
1952-10-01,-0.008900,-0.015300,-0.003900,-0.011000,-0.013800,-0.010580
1952-11-01,0.060500,0.079500,0.096500,0.045700,0.072400,0.070920
1952-12-01,0.014300,0.033400,0.032600,0.013000,-0.019500,0.014760
1953-01-01,0.021600,0.009200,-0.026300,0.008200,-0.051200,-0.007700
1953-02-01,0.017800,0.001400,0.003000,-0.001500,0.020700,0.008280
1953-03-01,-0.017500,-0.026200,-0.009300,-0.004900,-0.001600,-0.011900
1953-04-01,-0.001300,-0.021200,-0.005700,-0.008100,-0.053400,-0.017940
1953-05-01,0.002300,0.002500,0.016200,0.015200,-0.000500,0.007140
1953-06-01,-0.008400,-0.027600,-0.022100,-0.021900,-0.033100,-0.022620
1953-07-01,0.027200,0.023200,0.023900,0.019700,0.036600,0.026120
1953-08-01,-0.035200,-0.060400,-0.049500,-0.023700,0.000400,-0.033680
1953-09-01,0.002500,0.009500,0.035300,0.001000,0.004300,0.010520
1953-10-01,0.006900,0.070200,0.070900,0.008700,0.026500,0.036640
1953-11-01,0.003400,0.036400,0.057400,0.033400,0.080300,0.042180
1953-12-01,-0.006200,0.005400,0.005900,0.012400,-0.013500,0.000800
1954-01-01,0.041800,0.068700,0.068300,0.033200,0.056500,0.053700
1954-02-01,-0.003100,0.017500,0.051500,0.004400,-0.001800,0.013700
1954-03-01,0.013700,0.050500,0.093300,0.003700,0.002900,0.032820
1954-04-01,0.009800,0.051300,0.098100,0.015300,0.012000,0.037300
1954-05-01,0.023900,0.049600,-0.012600,0.028500,0.016100,0.021100
1954-06-01,0.005800,0.032500,0.109900,0.025000,-0.024500,0.029740
1954-07-01,0.063900,0.069000,-0.004700,0.042200,0.082200,0.050520
1954-08-01,-0.027100,-0.042200,-0.049700,-0.002300,-0.025800,-0.029420
1954-09-01,0.038800,0.061700,0.067900,0.048400,0.028100,0.048980
1954-10-01,-0.022200,0.006500,-0.015600,-0.025300,-0.016300,-0.014580
1954-11-01,0.060900,0.137800,0.121100,0.084100,0.126100,0.106000
1954-12-01,0.043500,0.081700,0.029600,0.022700,0.061500,0.047800
1955-01-01,0.002800,0.014700,0.038500,0.017400,-0.028800,0.008920
1955-02-01,0.015400,0.039600,0.045400,0.013000,0.028600,0.028400
1955-03-01,-0.008500,0.012600,-0.013600,-0.014000,0.061100,0.007520
1955-04-01,0.040800,0.027900,0.047600,0.018300,0.000100,0.026940
1955-05-01,-0.002900,0.018800,-0.002800,0.030200,0.031700,0.015000
1955-06-01,0.025000,0.078800,0.031100,0.044300,0.001700,0.036180
1955-07-01,0.020600,-0.008700,-0.026300,0.020300,0.001300,0.001440
1955-08-01,-0.006700,0.034400,0.006300,0.016300,0.001600,0.010380
1955-09-01,-0.016000,0.004000,-0.049300,0.034200,-0.031800,-0.011780
